Module,Location,File Name,Vendor,Type (Open Source or Commecial),License Type / URL,License Type / URL 2,Project URL / Notes
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-expression-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-instrument-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-jdbc-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-orm-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-tx-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-web-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,spring-webmvc-4.3.1.RELEASE.jar,SpringSource,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,standard.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,struts-core-1.3.10.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,struts-el-1.3.10.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,struts-extras-1.3.10.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,struts-taglib-1.3.10.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,xalan-2.7.0.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,xdb.jar,Oracle Corporation,Free,OTN License Agreement,,http://www.oracle.com/technetwork/database/enterprise-edition/jdbc-112010-090769.html
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,xercesImpl-2.7.1.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,xml-apis-1.3.04.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
,,,www.w3.org,Free,W3C® DOCUMENT LICENSE,,http://www.w3.org/Consortium/Legal/copyright-software-19980720
,,,David Megginson,Free,SAX2 License,,http://www.megginson.com/SAX/copying.html
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,xml-apis-ext-1.3.04.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
,,,www.w3.org,Free,W3C® DOCUMENT LICENSE,,http://www.w3.org/Consortium/Legal/copyright-software-19980720
OasisTags,\\oasis\web\OasisTags\src\web\OasisTags\WEB-INF\lib,xmlgraphics-commons-1.4.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\test\lib,ant-junit.jar,The Apache Software Foundation,Open Source,"Apache License, Version 2.0",,
OasisTags,\\oasis\web\OasisTags\test\lib,junit.jar,JUnit Contributors,Open Source,Eclipse Public License - v 1.0,,http://junit.org/license.html
